Name,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,PTS
beachbum,NMU,HOU,TLDU,UCF,SMS,CMU,WKU,WYMU,IDU,EMU,LTU,OHIO,HU,MUOH,MYLD,NCST,ARMY,TMP,WSU,BSU,NW,MUFL,UU,TAM,SFU,VT,COLU,TCU,STU,TENN,AF,MU,LSU,KNKY,ALA,OSU,IWU,WISC,PSU,OKU,ALA,47
beat_the_nitny_lions_,NMU,HOU,APS,ARKS,LSL,CMU,MEMP,WYMU,IDU,EMU,NVY,TRY,HU,MSST,BC,NCST,ARMY,TMP,WSU,BSU,PITT,WV,UU,TAM,SFU,VT,OKSU,TCU,STU,NEB,AF,MU,LSU,KNKY,ALA,OSU,IWU,WISC,USC,OKU,ALA,57
BigLou,NMU,SDSU,APS,UCF,SMS,TULS,MEMP,BYU,IDU,ODU,NVY,TRY,HU,MUOH,MYLD,VAND,ARMY,TMP,MINN,BSU,PITT,WV,UU,TAM,SFU,VT,OKSU,GU,STU,TENN,AF,MU,LUVL,KNKY,WASH,CLEM,FLU,WISC,PSU,OKU,ALA,48
btpeters83,NMU,HOU,APS,UCF,SMS,CMU,WKU,BYU,IDU,ODU,NVY,TRY,MT,MSST,BC,NCST,ARMY,TMP,WSU,BSU,PITT,MUFL,IND,TAM,SCU,VT,COLU,TCU,STU,NEB,SA,MU,LSU,KNKY,ALA,OSU,IWU,WISC,USC,ABRN,ALA,62
camaro70,NMU,SDSU,TLDU,UCF,LSL,TULS,WKU,WYMU,IDU,ODU,NVY,TRY,HU,MUOH,MYLD,NCST,ARMY,TMP,WSU,BSU,NW,MUFL,IND,KSU,SCU,ARK,COLU,GU,STU,NEB,AF,MU,LSU,KNKY,ALA,OSU,IWU,WISC,USC,OKU,ALA,58
Chaka,NMU,HOU,APS,ARKS,SMS,CMU,MEMP,BYU,CSU,EMU,LTU,TRY,HU,MUOH,BC,VAND,NTX,WF,MINN,BAY,PITT,MUFL,UU,KSU,SFU,ARK,OKSU,GU,STU,TENN,AF,FSU,LUVL,KNKY,WASH,OSU,FLU,WISC,PSU,ABRN,ALA,57
DeuxHuevos,NMU,SDSU,TLDU,ARKS,LSL,TULS,MEMP,WYMU,CSU,ODU,LTU,TRY,HU,MSST,MYLD,VAND,NTX,TMP,WSU,BSU,PITT,MUFL,UU,TAM,SFU,VT,COLU,TCU,STU,TENN,AF,MU,LUVL,GT,ALA,CLEM,FLU,WISC,USC,OKU,ALA,61
Dr.Bombay,NMU,HOU,APS,UCF,SMS,CMU,MEMP,WYMU,IDU,EMU,LTU,TRY,HU,MSST,MYLD,NCST,NTX,WF,WSU,BAY,PITT,WV,UU,KSU,SCU,ARK,COLU,TCU,NCU,NEB,AF,FSU,LSU,KNKY,WASH,CLEM,FLU,WMU,PSU,OKU,ALA,44
Egil_Jr,NMU,HOU,APS,UCF,LSL,TULS,MEMP,BYU,CSU,ODU,NVY,TRY,MT,MSST,MYLD,VAND,ARMY,TMP,WSU,BAY,PITT,WV,UU,TAM,SFU,VT,COLU,TCU,STU,TENN,SA,MU,LUVL,KNKY,WASH,CLEM,IWU,WISC,USC,ABRN,WASH,68
IAMSC,TXSA,HOU,APS,ARKS,LSL,CMU,WKU,WYMU,IDU,ODU,LTU,OHIO,HU,MSST,MYLD,VAND,NTX,TMP,WSU,BAY,NW,WV,UU,KSU,SCU,ARK,OKSU,TCU,STU,TENN,AF,MU,LSU,GT,WASH,CLEM,IWU,WISC,USC,OKU,ALA,63
James,NMU,HOU,APS,UCF,SMS,TULS,MEMP,BYU,CSU,EMU,NVY,OHIO,HU,MSST,BC,VAND,ARMY,WF,WSU,BSU,PITT,MUFL,UU,TAM,SFU,VT,COLU,GU,STU,NEB,AF,MU,LUVL,GT,ALA,CLEM,IWU,WISC,PSU,OKU,ALA,66
jimpink,TXSA,SDSU,APS,ARKS,LSL,TULS,WKU,WYMU,IDU,ODU,LTU,TRY,HU,MUOH,BC,NCST,ARMY,TMP,WSU,BAY,NW,WV,IND,KSU,SFU,VT,COLU,TCU,STU,NEB,SA,MU,LUVL,KNKY,ALA,OSU,IWU,WMU,USC,OKU,ALA,52
